symbol,period,strongBuy,buy,hold,sell,strongSell
GME,2022-11-01,0,0,3,4,2
GME,2022-10-01,0,0,3,4,2
GME,2022-09-01,0,0,3,4,2
GOOGL,2022-12-01,16,35,5,0,0
GOOGL,2022-11-01,16,34,5,0,0
GOOGL,2022-10-01,17,35,5,0,0
GOOGL,2022-09-01,18,37,4,0,0
HD,2022-12-01,12,19,12,0,1
HD,2022-11-01,12,20,11,0,1
HD,2022-10-01,12,20,10,0,1
HD,2022-09-01,12,20,10,0,1
INTC,2022-12-01,1,6,28,9,6
INTC,2022-11-01,1,7,26,7,6
INTC,2022-10-01,1,6,28,7,5
INTC,2022-09-01,1,6,27,7,5
JNJ,2022-12-01,5,7,13,0,0
JNJ,2022-11-01,5,7,14,0,0
JNJ,2022-10-01,5,7,13,0,0
JNJ,2022-09-01,5,7,13,0,0
KO,2022-12-01,7,21,8,0,0
KO,2022-11-01,7,21,8,0,0
KO,2022-10-01,6,21,8,0,0
KO,2022-09-01,6,21,8,0,0
LLY,2022-12-01,8,14,7,0,0
LLY,2022-11-01,8,13,7,0,0
LLY,2022-10-01,8,13,7,0,0
LLY,2022-09-01,8,13,8,0,0
MA,2022-12-01,14,28,5,0,0
MA,2022-11-01,14,28,5,0,0
MA,2022-10-01,15,28,4,0,0
MA,2022-09-01,15,28,4,0,0
META,2022-12-01,16,23,21,3,1
META,2022-11-01,16,24,20,3,1
META,2022-10-01,17,29,14,2,1
META,2022-09-01,17,32,13,2,1
MRK,2022-12-01,5,18,9,0,0
MRK,2022-11-01,5,16,9,0,0
MRK,2022-10-01,4,17,10,0,0
MRK,2022-09-01,4,16,11,0,0
MSFT,2022-12-01,19,33,6,0,0
MSFT,2022-11-01,21,32,6,0,0
MSFT,2022-10-01,21,32,5,0,0
MSFT,2022-09-01,21,31,4,0,0
NFLX,2022-12-01,12,12,21,4,0
NFLX,2022-11-01,11,11,22,5,0
NFLX,2022-10-01,10,7,26,5,1
NFLX,2022-09-01,10,5,28,6,1
NVDA,2022-12-01,13,24,13,0,0
NVDA,2022-11-01,13,23,14,0,0
NVDA,2022-10-01,13,25,14,0,0
NVDA,2022-09-01,14,27,10,0,0
PEP,2022-12-01,4,10,12,1,1
PEP,2022-11-01,4,10,12,0,1
PEP,2022-10-01,3,10,12,0,1
PEP,2022-09-01,3,10,12,0,1
PFE,2022-12-01,5,11,12,0,0
PFE,2022-11-01,5,10,12,0,0
PFE,2022-10-01,5,10,12,0,0
PFE,2022-09-01,5,10,13,0,0
PG,2022-12-01,7,14,12,0,1
PG,2022-11-01,6,14,12,0,1
PG,2022-10-01,6,15,11,0,1
PG,2022-09-01,6,15,11,0,1
SAVE,2022-12-01,2,5,9,1,0
SAVE,2022-11-01,2,5,9,1,0
SAVE,2022-10-01,2,5,9,1,0
SAVE,2022-09-01,2,5,8,1,0
SIRI,2022-12-01,5,7,7,3,0
SIRI,2022-11-01,5,7,7,4,0
SIRI,2022-10-01,5,7,7,4,0
SIRI,2022-09-01,5,7,7,4,0
T,2022-12-01,5,12,19,3,0
T,2022-11-01,5,12,19,3,0
T,2022-10-01,4,11,20,3,0
T,2022-09-01,4,11,19,3,0
TLSA,2022-12-01,2,5,1,0,0
TLSA,2022-11-01,2,5,1,0,0
TLSA,2022-10-01,2,5,1,0,0
TLSA,2022-09-01,2,5,1,0,0
UBER,2022-12-01,17,30,5,0,0
UBER,2022-11-01,17,30,6,0,0
UBER,2022-10-01,17,30,6,0,0
UBER,2022-09-01,19,30,5,0,0
UNH,2022-12-01,9,17,4,0,0
UNH,2022-11-01,10,17,4,0,0
UNH,2022-10-01,10,17,4,0,0
UNH,2022-09-01,10,17,4,0,0
V,2022-12-01,14,26,6,0,0
V,2022-11-01,15,26,5,0,0
V,2022-10-01,15,26,5,0,0
V,2022-09-01,15,26,5,0,0
VZ,2022-12-01,5,8,22,3,1
VZ,2022-11-01,5,8,22,3,1
VZ,2022-10-01,4,8,23,3,1
VZ,2022-09-01,4,8,22,3,1
WFC,2022-12-01,8,16,8,0,0
WFC,2022-11-01,8,16,8,0,0
WFC,2022-10-01,8,15,8,1,0
WFC,2022-09-01,8,15,9,0,0
XOM,2022-12-01,6,13,14,0,0
XOM,2022-11-01,6,13,13,0,0
XOM,2022-10-01,5,13,14,0,0
XOM,2022-09-01,5,13,14,0,0
